CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0          35      35           0       0         230           0
   41          42       7           5      97         107          10
   42          24      12           5      31          41          10
   43          23       3           7     132         142          10
   44          11      14          18      69          79          10
   45           6      38          16      32          42          10
   46           2      48           1     117         127          10
   47           8      56          27      51          61          10
   48          13      52          36     165         175          10
   49           6      68          30     108         118          10
   50          47      47          13     124         134          10
   51          49      58          10      88          98          10
   52          27      43           9      52          62          10
   53          37      31          14      95         105          10
   54          57      29          18     140         150          10
   55          63      23           2     136         146          10
   56          53      12           6     130         140          10
   57          32      12           7     101         111          10
   58          36      26          18     200         210          10
   59          21      24          28      18          28          10
   60          17      34           3     162         172          10
   61          12      24          13      76          86          10
   62          24      58          19      58          68          10
   63          27      69          10      34          44          10
   64          15      77           9      73          83          10
   65          62      77          20      51          61          10
   66          49      73          25     127         137          10
   67          67       5          25      83          93          10
   68          56      39          36     142         152          10
   69          37      47           6      50          60          10
   70          37      56           5     182         192          10
   71          57      68          15      77          87          10
   72          47      16          25      35          45          10
   73          44      17           9      78          88          10
   74          46      13           8     149         159          10
   75          49      11          18      69          79          10
   76          49      42          13      73          83          10
   77          53      43          14     179         189          10
   78          61      52           3      96         106          10
   79          57      48          23      92         102          10
   80          56      37           6     182         192          10

