CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0        240          0   
   31      88         35         20         61         91         10   
   32      87         30         10        131        161         10   
   33      85         25         10         51         81         10   
   34      85         35         30        111        141         10   
   35      67         85         20        139        169         10   
   36      65         85         40         43         73         10   
   37      65         82         10        124        154         10   
   38      62         80         30         75        105         10   
   39      60         80         10         37         67         10   
   40      60         85         30         85        115         10   
   41      58         75         20         92        122         10   
   42      55         80         10         33         63         10   
   43      55         85         20        128        158         10   
   44      55         82         10         64         94         10   
   45      20         82         10         37         67         10   
   46      18         80         10        113        143         10   
   47       2         45         10         45         75         10   
   48      42          5         10        151        181         10   
   49      42         12         10        104        134         10   
   50      72         35         30        116        146         10   
   51      55         20         19         83        113         10   
   52      25         30          3         52         82         10   
   53      20         50          5         91        121         10   
   54      55         60         16        139        169         10   
   55      30         60         16        140        170         10   
   56      50         35         19        130        160         10   
   57      30         25         23         96        126         10   
   58      15         10         20        152        182         10   
   59      10         20         19         42         72         10   
   60      15         60         17        155        185         10   
   61      45         65          9         66         96         10   
   62      65         35          3         52         82         10   
   63      65         20          6         39         69         10   
   64      45         30         17         53         83         10   
   65      35         40         16         11         41         10   
   66      41         37         16        133        163         10   
   67      64         42          9         70        100         10   
   68      40         60         21        144        174         10   
   69      31         52         27         41         71         10   
   70      35         69         23        180        210         10   

